red	green	blue
100	78	59	255
102	87	76	255
115	90	74	255
122	92	68	255
70	48	32	255
100	81	67	255
56	37	26	255
42	30	21	255
119	96	78	255
65	45	30	255
18	8	2	255
112	86	68	255
125	89	66	255
42	33	29	255
114	76	51	255
96	66	45	255
108	68	43	255
108	85	73	255
70	54	48	255
49	29	17	255
110	86	73	255
89	68	46	255
109	82	66	255
63	46	38	255
50	43	40	255
121	87	54	255
116	95	84	255
131	96	75	255
90	62	48	255
45	28	17	255
109	85	74	255
126	98	82	255
56	45	43	255
58	40	29	255
105	83	61	255
102	83	66	255
85	70	54	255
59	45	39	255
103	88	70	255
105	84	74	255
116	83	57	255
58	43	37	255
88	63	51	255
70	45	35	255
57	45	44	255
92	77	65	255
99	70	46	255
127	91	65	255
68	52	39	255
50	35	34	255
114	91	74	255
63	38	32	255
75	56	42	255
123	89	52	255
44	38	35	255
84	61	39	255
97	70	51	255
84	64	46	255
81	64	51	255
94	67	49	255
134	98	76	255
42	32	26	255
75	59	50	255
118	97	83	255
84	65	59	255
113	90	75	255
111	87	72	255
105	74	48	255
95	64	42	255
128	91	66	255
76	65	58	255
106	72	50	255
109	81	64	255
46	38	30	255
82	58	46	255
77	49	29	255
107	86	73	255
33	29	26	255
61	50	45	255
32	24	17	255
114	82	61	255
73	48	34	255
98	76	61	255
90	65	50	255
44	29	22	255
90	68	57	255
54	40	35	255
110	97	78	255
112	76	52	255
116	87	59	255
75	50	37	255
49	37	22	255
118	89	77	255
115	89	66	255
105	83	72	255
102	89	75	255
74	48	35	255
68	48	29	255
113	83	57	255
88	62	49	255
44	34	25	255
71	49	37	255
100	83	66	255
115	92	74	255
86	67	58	255
124	98	83	255
122	97	75	255
39	26	21	255
113	86	65	255
33	21	20	255
97	67	54	255
83	70	55	255
111	91	74	255
72	57	40	255
56	39	26	255
84	64	57	255
108	87	72	255
126	95	73	255
131	99	74	255
92	64	42	255
125	91	66	255
64	49	37	255
56	42	34	255
61	46	35	255
94	73	59	255
114	78	51	255
96	68	45	255
78	50	29	255
65	48	43	255
95	70	52	255
108	90	80	255
123	91	71	255
128	95	72	255
92	67	50	255
63	48	38	255
109	87	73	255
90	72	59	255
121	85	62	255
51	38	25	255
101	72	55	255
98	82	70	255
72	49	34	255
110	80	59	255
104	72	51	255
117	83	50	255
105	86	74	255
102	72	56	255
71	48	35	255
96	76	62	255
122	94	78	255
58	45	37	255
70	50	42	255
52	32	21	255
63	40	32	255
127	96	72	255
119	97	75	255
125	90	63	255
98	74	64	255
108	86	70	255
64	48	35	255
133	97	67	255
106	74	49	255
95	67	55	255
64	49	48	255
110	95	82	255
